MonthlyIncome,ActiveSinceDays,Age,Graduate,Married,Single,NoOfChildren,NoOfTeenager,NoOfDaysSinceLastPurchase,AmountSpendOnWines,AmountSpentOnFruits,AmountSpentOnMeat,AmountSpentOnFish,AmountSpentOnSweet,AmountSpentOnGold,NoOfDealsWithDiscount,NoOfWebPurchase,NoOfCatalogPurchase,NoOfStorePurchase,NoOfWebVisitsMonth,PurchasedIn1stCampaign,PurchasedIn2ndCampaign,PurchasedIn3rdCampaign,PurchasedIn4thCampaign,PurchasedIn5thCampaign,TotalNoOfCampaignAccepted,CustomerComplain
26490,2804,62,0,1,0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0
75702,2828,53,1,1,0,1,1,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,0
30899,2783,46,1,0,1,0,0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0
63342,2780,59,1,1,0,0,1,48,918,21,118,13,10,21,3,8,3,5,6,0,0,0,1,0,1,0
45989,2774,56,1,0,1,0,0,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,0
18701,2549,56,1,0,1,0,0,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,0
40737,2362,63,1,0,1,0,0,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0
15287,2786,41,1,0,1,0,0,60,1,2,8,4,3,13,2,1,1,2,7,0,0,1,0,0,1,0
69674,2562,52,1,0,1,0,0,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,0
44159,2171,50,1,1,0,1,0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,0
37717,2742,42,1,1,0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0
43776,2670,68,1,1,0,1,1,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,0
38179,2631,54,1,1,0,1,1,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0
80124,2162,57,1,1,0,0,0,47,483,84,398,205,84,241,1,3,7,8,1,0,0,1,0,0,1,0
38097,2781,50,1,1,0,1,1,70,77,2,35,0,1,69,4,3,2,2,7,0,0,1,0,0,1,0
72940,2534,50,1,1,0,0,0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,0
22070,2427,50,1,1,0,1,0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0
69267,2804,67,1,0,1,0,0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,0
31788,2260,37,1,0,1,0,0,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,0,1
61905,2304,45,1,1,0,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0
29315,2243,60,1,1,0,1,1,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,0
33378,2667,57,1,0,1,0,0,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,0
66313,2445,57,1,1,0,0,1,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,0
60714,2687,64,1,0,1,0,0,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,0
77882,2219,39,1,1,0,0,0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0
69867,2612,34,1,0,1,0,0,30,196,0,512,33,130,54,1,3,5,8,1,1,0,0,0,0,1,0
63841,2593,52,1,0,1,0,0,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0
24480,2662,39,0,1,0,1,0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,0
51369,2771,44,1,1,0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0
37760,2826,74,1,1,0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0
65640,2279,46,1,1,0,0,1,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,0
44319,2232,45,1,1,0,1,1,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,0
30631,2511,46,1,1,0,1,0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,0
75278,2675,68,1,1,0,0,0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,0
50898,2696,64,1,1,0,1,1,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,0
79946,2207,54,1,0,1,0,0,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,0,0
35416,2540,71,1,0,1,0,0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0,0,0,0,0
32414,2519,36,0,1,0,0,0,11,20,6,5,0,9,12,1,1,0,3,7,0,0,1,0,0,1,0
38361,2343,51,1,1,0,1,0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,0,0,0,0,0
82497,2765,40,1,1,0,0,0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,0,0,1,1,0
16626,2324,49,1,1,0,2,0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,0
29672,2633,55,1,1,0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0
55951,2834,68,1,1,0,0,1,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,1,0,2,0
35388,2638,32,0,0,1,0,0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0,0,0,0,0
42386,2691,34,1,1,0,1,0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,0
68627,2692,38,1,0,1,0,0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,0
57912,2263,55,1,0,1,0,0,34,801,0,80,0,0,35,5,8,3,12,5,0,0,0,1,0,1,0
35246,2233,62,1,0,1,0,0,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,0
58821,2419,64,0,1,0,0,1,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,0
46377,2279,42,1,1,0,1,0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,0,0,0,0,0
39747,2236,32,1,0,1,0,0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,0
23976,2343,36,1,1,0,1,0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,0,0,0,0,0
80950,2617,59,1,1,0,0,0,44,525,147,112,219,147,63,1,6,7,9,2,1,0,0,0,0,1,0
27038,2808,54,1,0,1,0,0,64,1,26,25,17,23,15,1,3,0,3,9,0,0,0,0,0,0,0
77457,2275,73,1,0,1,0,0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,0,0,1,1,0
64100,2451,56,1,1,0,0,1,93,509,0,27,0,0,10,1,8,3,6,7,0,0,0,1,0,1,0
42670,2587,28,1,1,0,0,0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,0
12571,2321,44,1,0,1,0,0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,0
22574,2403,53,1,1,0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0
70893,2667,44,1,0,1,0,0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,0
54198,2353,54,1,1,0,1,1,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,0
28839,2269,64,1,1,0,1,1,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0
40321,2494,48,1,1,0,1,1,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0
66503,2843,35,1,0,1,0,0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0
30833,2507,69,1,1,0,1,1,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0
64795,2687,49,1,1,0,0,1,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0
34421,2522,46,1,1,0,1,0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,0
47025,2299,55,1,0,1,0,0,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0
64325,2666,59,1,0,1,0,0,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,0
40464,2693,67,1,0,1,0,0,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,0
62187,2518,63,1,1,0,0,0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0
14849,2521,44,1,0,1,0,0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0,0
27255,2393,36,1,1,0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0
54432,2575,70,1,1,0,2,1,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,0
29999,2660,34,1,0,1,0,0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,0
24072,2598,37,1,0,1,0,0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,0
33996,2450,31,1,0,1,0,0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0
66334,2611,64,1,1,0,0,1,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,0
35178,2694,49,1,1,0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,0,0,1,0,0,1,0
22010,2523,37,1,1,0,1,0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,0
62204,2814,60,1,0,1,0,0,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,0
75693,2729,52,1,0,1,0,0,10,797,153,293,72,97,30,1,11,4,6,4,1,0,0,1,1,3,0
30675,2753,48,1,1,0,1,0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,0
83003,2642,55,1,1,0,0,0,18,856,61,570,40,25,122,1,7,6,8,3,0,0,0,0,1,1,0
68655,2847,32,1,0,1,0,0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0
41411,2363,34,1,0,1,0,0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0
55212,2742,51,1,1,0,0,1,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,1,0,2,0
59292,2540,70,1,1,0,0,1,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,0
27190,2477,47,0,1,0,1,0,13,1,6,7,0,1,3,1,1,0,2,8,0,0,1,0,0,1,0
82623,2390,68,1,0,1,0,0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0
44300,2530,55,1,1,0,1,1,65,30,0,9,0,0,3,2,1,0,3,6,0,0,0,0,0,0,0
84835,2172,50,1,0,1,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,0
30372,2710,49,1,0,1,0,0,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0
33181,2336,44,1,1,0,1,0,90,9,0,3,0,0,4,1,1,0,2,6,0,0,1,0,0,1,0
71113,2353,63,1,1,0,0,1,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,0
71952,2694,34,1,1,0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,0,0,1,0,1,2,0
69759,2403,54,1,0,1,0,0,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,0
72099,2769,46,1,1,0,0,0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,0
60000,2713,44,1,0,1,0,0,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,0
38643,2371,42,1,0,1,0,0,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,0,1
50737,2573,65,1,1,0,0,1,61,78,0,11,0,0,10,1,2,0,4,6,0,0,0,1,0,1,0
68462,2723,51,1,1,0,0,0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0
65073,2472,77,1,1,0,0,0,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,0,1
46681,2423,72,1,1,0,0,2,52,269,15,69,15,19,38,2,4,6,4,5,0,0,0,0,0,0,0
78618,2798,63,1,1,0,0,0,87,736,163,818,212,163,61,1,4,7,10,2,0,0,0,1,0,1,0
62187,2258,51,1,0,1,0,0,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,0
28442,2284,42,1,1,0,2,0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,0,0,0,0,0
37717,2742,42,1,1,0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0
51479,2707,53,1,1,0,1,1,67,247,8,160,6,8,65,7,6,3,6,7,0,0,0,0,0,0,0
54803,2836,51,1,0,1,0,0,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,0
79530,2567,60,1,1,0,0,0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,0
31615,2629,44,1,0,1,0,0,82,2,3,20,6,11,9,2,2,0,3,7,0,0,0,0,0,0,0
72025,2748,58,1,1,0,0,0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0
52614,2734,45,1,0,1,0,0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0
35684,2227,36,0,1,0,1,0,66,10,4,7,0,6,3,1,1,0,3,6,0,0,0,0,0,0,0
48178,2768,45,1,1,0,1,1,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0,0,0,0,0
29548,2463,50,1,0,1,0,0,52,7,1,6,3,1,11,1,1,1,2,4,0,0,1,0,0,1,0
63810,2754,54,1,0,1,0,0,45,977,12,253,16,12,101,4,4,3,12,8,0,0,0,1,0,1,0
38578,2531,48,1,0,1,0,0,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0
46098,2839,45,1,0,1,0,0,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,0
22585,2627,50,1,0,1,0,0,23,3,9,15,13,2,39,1,1,1,2,9,0,0,1,0,0,1,0
30279,2705,31,1,0,1,0,0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0
66426,2429,59,1,1,0,0,1,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0
30822,2539,51,1,0,1,0,0,92,3,9,13,2,12,12,1,1,0,3,7,0,0,0,0,0,0,0
33581,2696,51,1,1,0,2,0,38,11,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0
19986,2386,35,1,1,0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0
27421,2723,66,1,0,1,0,0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,0
35688,2835,47,0,1,0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0
36143,2250,39,1,0,1,0,0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,0,0,0,0,0
10245,2569,49,1,0,1,0,0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,0
43795,2415,52,1,1,0,0,1,11,314,11,53,4,3,107,3,7,3,4,7,0,0,0,1,0,1,0
63381,2791,60,1,1,0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0
38823,2827,71,1,1,0,0,1,56,70,0,11,2,8,23,1,2,1,3,6,0,0,0,0,0,0,0
83664,2576,52,1,0,1,0,0,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0
90300,2336,41,1,1,0,0,0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,0,0,1,1,0
62499,2361,41,1,1,0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0
74293,2215,27,1,0,1,0,0,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,0
51012,2596,74,1,1,0,0,0,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,0
70777,2283,52,1,1,0,0,1,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,0
68682,2425,29,1,1,0,0,0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0
43824,2811,49,1,1,0,1,1,18,96,1,42,12,3,32,4,3,1,4,8,0,0,0,0,0,0,0
15345,2826,36,1,1,0,1,0,51,5,2,16,3,2,19,2,1,1,2,8,0,0,0,0,0,0,0
23442,2711,33,1,0,1,0,0,71,2,0,6,8,6,5,1,1,0,3,7,0,0,0,0,0,0,0
14515,2756,40,0,1,0,1,0,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,0
31395,2622,64,0,0,1,0,0,80,23,1,25,0,8,7,4,2,1,3,6,0,0,0,0,0,0,0
75276,2799,55,1,1,0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0
42373,2477,46,1,0,1,0,0,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,0
30507,2634,60,1,1,0,0,0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0
55521,2409,65,1,0,1,0,0,11,416,0,26,0,0,4,9,6,3,6,7,0,0,0,1,0,1,0
48006,2179,55,1,1,0,1,1,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,0
27213,2827,48,1,0,1,0,0,19,19,3,26,10,9,3,3,2,0,4,8,0,0,0,0,0,0,0
65808,2189,49,1,0,1,0,0,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0
30351,2547,46,1,1,0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,0
50437,2779,57,1,1,0,0,2,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0
23616,2748,38,0,0,1,0,0,76,4,22,11,3,7,32,2,3,0,3,8,0,0,0,0,0,0,0
53858,2756,44,1,1,0,0,1,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,0
66465,2615,65,1,1,0,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,1,0,0,0,0,1,0
46923,2835,33,1,0,1,0,0,90,85,44,54,102,78,6,3,5,1,7,7,0,0,0,0,0,0,0
75072,2681,58,1,1,0,0,1,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,0
75865,2249,77,1,1,0,0,0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0,0,0,0,0
19789,2380,45,0,1,0,1,0,24,2,5,9,28,6,28,3,2,1,3,5,0,0,1,0,0,1,0
80134,2294,26,1,1,0,0,0,11,966,26,282,52,26,26,1,2,7,11,5,1,1,0,1,1,4,0
91065,2651,39,1,0,1,0,0,33,822,114,108,179,137,114,1,7,9,9,3,1,0,0,0,1,2,0
49505,2640,49,1,1,0,1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0
37401,2213,47,1,1,0,1,0,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,0
30096,2197,37,1,1,0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0
18492,2183,38,1,1,0,1,0,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,0
82584,2549,46,1,1,0,0,0,26,1076,68,103,29,91,68,1,3,4,8,1,0,0,0,1,1,2,0
93027,2601,79,1,1,0,0,0,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,0,0,1,1,0
48686,2366,67,1,1,0,1,2,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0
92910,2225,34,1,1,0,0,0,42,551,137,792,179,103,33,1,6,7,13,1,1,0,0,1,1,3,0
75433,2244,31,1,1,0,1,0,28,800,0,297,0,34,57,2,2,5,10,6,1,0,0,1,0,2,0
10404,2215,31,0,1,0,1,0,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,0
61314,2589,52,1,1,0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0
84865,2575,59,1,0,1,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,1,1,0,1,1,4,0
42387,2767,31,1,1,0,1,0,42,235,0,235,19,4,191,5,8,1,7,8,0,0,0,0,0,0,0
67309,2681,53,0,1,0,1,1,76,515,47,181,149,95,95,15,9,6,9,7,0,0,0,0,0,0,0
75236,2375,56,1,1,0,0,1,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,0
30015,2306,50,1,0,1,0,0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0
50943,2532,64,1,1,0,0,1,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0
67272,2349,54,1,0,1,0,0,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,0
51529,2454,71,1,0,1,0,0,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,0
32011,2470,49,1,1,0,1,0,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0,0
7500,2666,34,0,1,0,1,0,96,1,11,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,0
28691,2519,31,1,1,0,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0
56223,2350,72,1,1,0,0,1,72,77,28,31,16,0,4,2,2,1,5,4,0,0,0,0,0,0,0
18100,2486,74,1,1,0,0,0,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,0,0
30279,2705,31,1,0,1,0,0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0
20130,2263,46,0,1,0,0,0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0
23295,2510,61,1,0,1,0,0,72,0,0,1,2,12,5,1,1,0,2,8,0,0,0,0,0,0,0
42618,2422,48,1,0,1,0,0,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,0
81246,2341,56,1,0,1,0,0,87,398,190,537,61,156,37,1,4,5,7,1,1,0,1,0,0,2,0
24027,2544,44,1,1,0,1,0,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0
55707,2348,67,1,1,0,0,1,91,208,7,82,30,66,35,2,3,2,9,3,0,0,0,0,0,0,0
57959,2582,65,1,0,1,0,0,71,430,16,322,43,24,33,5,4,7,11,3,0,0,0,0,0,0,0
56796,2657,51,1,1,0,0,1,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0
36230,2414,49,1,0,1,0,0,17,14,2,30,8,2,3,1,2,0,4,5,0,0,0,0,0,0,0
70829,2369,40,0,1,0,1,1,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,0
65991,2819,44,1,1,0,0,1,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,0
38988,2837,48,1,1,0,1,2,90,164,24,103,12,3,42,7,5,1,6,8,0,0,0,0,0,0,0
89572,2811,54,0,0,1,0,0,44,606,24,974,197,194,64,1,7,7,9,4,1,0,0,1,0,2,0
42207,2613,36,1,1,0,1,0,71,116,11,72,3,17,46,4,4,1,5,6,0,0,1,0,0,1,0
50300,2194,68,1,1,0,0,1,52,143,15,60,24,23,5,2,2,1,8,2,0,0,0,0,0,0,0
66664,2801,38,0,1,0,0,0,78,398,96,447,220,96,32,1,5,7,6,3,0,0,0,0,0,0,0
60597,2338,56,1,1,0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,1,0,0,0,0,1,0
70165,2439,71,1,0,1,0,0,60,161,0,253,199,191,122,1,3,7,11,1,0,0,0,0,0,0,0
50520,2311,62,1,0,1,0,0,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,0
80124,2162,57,1,1,0,0,0,47,483,84,398,205,84,241,1,3,7,8,1,0,0,1,0,0,1,0
33183,2284,45,1,1,0,1,0,46,7,5,39,17,15,37,2,4,0,3,7,0,0,0,0,0,0,0
66582,2277,51,1,0,1,0,0,83,789,25,420,16,38,0,1,2,8,9,1,0,0,0,0,0,0,0
75261,2591,65,1,1,0,0,0,17,1239,17,413,23,34,17,1,5,6,5,2,0,0,0,1,1,2,0
31880,2765,50,1,0,1,0,0,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,0,0
53790,2274,69,1,1,0,0,2,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,0
49269,2842,49,1,1,0,1,0,92,639,8,166,11,8,58,3,7,3,12,7,0,0,0,0,0,0,0
61456,2618,45,1,1,0,0,1,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,0
37406,2421,40,1,1,0,1,0,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,0,0
56937,2853,39,1,1,0,1,0,81,746,8,125,11,8,8,7,8,6,9,6,0,0,0,1,0,1,0
38415,2702,42,1,1,0,1,1,91,22,1,13,4,0,4,2,1,0,3,7,0,0,0,0,0,0,0
20518,2201,32,1,0,1,0,0,58,4,1,6,4,1,9,1,1,1,2,5,0,0,0,0,0,0,0
62503,2655,64,1,1,0,0,1,40,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,0
41644,2210,48,1,0,1,0,0,67,20,3,4,2,0,2,2,1,0,3,3,0,0,0,0,0,0,0
55842,2196,43,1,1,0,0,1,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0,0
62010,2773,48,1,1,0,0,1,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0,0
41124,2765,43,1,1,0,1,0,41,281,7,84,15,0,119,7,7,3,4,8,0,0,0,0,0,0,0
38961,2340,47,1,1,0,1,0,60,19,7,19,0,1,24,1,2,1,2,7,0,0,0,0,0,0,0
37760,2481,48,1,0,1,0,0,54,26,3,13,2,10,0,1,2,0,3,6,0,0,0,0,0,0,0
32233,2838,46,1,0,1,0,0,26,138,15,35,25,11,72,2,6,2,2,9,0,0,1,0,0,1,0
43057,2401,45,1,1,0,0,1,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0
83151,2786,60,1,1,0,0,0,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0
78825,2812,56,1,0,1,0,0,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,0
65104,2386,44,1,1,0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0
60093,2527,46,1,1,0,0,1,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0
14045,2313,51,1,1,0,1,0,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0
28457,2768,68,0,0,1,0,0,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,0
78952,2802,62,1,1,0,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0
46310,2732,44,1,0,1,0,0,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0
76005,2651,65,1,1,0,0,0,72,983,20,389,240,50,40,1,3,5,13,6,1,0,0,0,0,1,0
58308,2692,56,1,0,1,0,0,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,0
55614,2373,76,1,0,1,0,0,85,504,13,131,8,0,26,1,9,4,6,7,0,0,0,1,0,1,0
59432,2601,58,1,0,1,0,0,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,0
55563,2244,42,1,0,1,0,0,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0
78642,2593,49,1,1,0,0,1,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,0
67911,2197,71,1,1,0,0,1,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0
65275,2611,76,1,1,0,0,0,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0
